String,Admin Roles,Content Roles,End User,From Mukurtu
You have unsaved changes.,x,x,,
You have used a one-time login link. You can set your new password now.,,,,
You may also adjust the @settings for the currently selected access restriction.,,,,
You may also adjust the @settings for the currently selected cache mechanism.,,,,
You may also adjust the @settings for the currently selected pager.,,,,
You may also adjust the @settings for the currently selected row style.,,,,
You may also adjust the @settings for the currently selected style.,,,,
"You may also use tokens: [node:author:mail], [comment:author:mail], etc. Separate recipients with a comma.",,,,
You may also want to configure the display and form display of the new field (see related topics).,,,,
"You may enter data from this view as per the ""Available global token replacements"" above. You may include the following allowed HTML tags: <code>@tags</code>",,,,
"You may include the following allowed HTML tags with these ""Replacement patterns"": <code>@tags</code>",,,,
You may need to check the <code>watchdog</code> database table manually.,,,,
"You may need to set the correct directory at the <a href="":admin-file-system"">file system settings page</a> or change the current directory's permissions so that it is writable.",,,,
You may not ban your own IP address.,,,,
You may now cancel your account on [site:url-brief] by clicking this link or copying and pasting it into your browser:,,,,
You may now log in by clicking this link or copying and pasting it into your browser:,,,,
You may now log in by clicking this link or copying and pasting it into your browser:,,,,
You may optionally specify a field by which to group the records. Leave blank to not group.,,,,
"You may use field tokens as per the ""Replacement patterns"" used in ""Rewrite the output of this field"" for all fields.",,,,
You may use HTML code in this field. The following tokens are supported:,,,,
"You may use the ""Replacement patterns"" above.",,,,
You may use token substitutions from the rewriting section in this class.,,,,
"You must add some additional fields to this display before using this field. These fields may be marked as <em>Exclude from display</em> if you prefer. Note that due to rendering order, you cannot use fields that come after this field; if you need a field not listed here, rearrange your fields.",,,,
You must also enable comments for the content types you are generating. Note that some nodes will randomly receive zero comments. Some will receive the max.,,,,
You must configure the selected text editor.,,,,
You must enter a username.,,,,
You must have the pdo_sqlite PHP extension installed. See core/INSTALL.sqlite.txt for instructions.,,,,
You must revert all customized layouts of this display before you can disable this option.,,,,
You must select a value unless this is an non-required exposed filter.,,,,
"You must select at least one role if type is ""by role""",,,,
You must select something to filter by.,,,,
You must select the new search page type.,,,,
You must specify at least one index to disable.,,,,
You must specify at least one index to enable.,,,,
You need at least one field before you can configure your table settings,,,,
"You need to enter the database credentials of the Drupal site that you want to upgrade. You can also include its files directory in the upgrade. For example local files, /var/www/docroot, or remote files http://www.example.com.",,,,
"You need to install all modules on this site that are installed on the previous site. For example, if you have used the Book module on the previous site then you must install the Book module on this site for that data to be available on this site.",,,,
You need to select a field type.,,,,
"You need to select a pattern type, then a pattern and filter, and a label. Additional types can be enabled on the <a href="":settings"">Settings</a> page.",,,,
"You selected the ""@operator"" operator as the default value but is not included in the list of limited operators.",,,,
You should also check the value of <code>secure-http</code> and make sure that it is set to <code>true</code> or not set at all.,,,,
You should see the IP address you entered listed under <em>Banned IP addresses</em>. Repeat the above steps to ban additional IP addresses.,,,,
